location,year,average yearly temperature,growing degree days,extreme degree days,heating degree days,cooling degree days,total yearly precipitation,total harvesting precipitation,total planting precipitation,total growing season precipitation,npp
Prairie View,2011,21.749903590062093,4651.791151060495,0.3487250225686556,857.2651591101463,2104.325469482818,562.8275467276884,139.66313050747885,159.47672717655203,299.13985768403086,6237.725150990923
Prairie View,2012,21.76510804387959,4606.362775077095,0.0926140289731788,586.4277475373437,1842.4694915972766,1005.3528026390817,207.40561243823848,506.56188342810066,713.9674958663393,9192.240371483203
Prairie View,2013,20.448299804702586,4196.4982268115555,0.10545051764606002,937.7701389381816,1709.7450676546384,878.0620171170337,397.171586142926,218.2011985150014,615.3727846579275,7730.676287595985
Prairie View,2014,19.95357518914976,4048.6449057872255,0.03577430198438705,980.3205266777749,1571.7209707174454,1071.9499567296857,303.0025360670574,554.7793355568016,857.7818716238589,9402.507906158004
Prairie View,2015,20.810594672238068,4287.288900511281,0.0821735497795042,849.176963586734,1753.3895189536331,1431.0804886328747,406.7806886666563,755.4540742549353,1162.2347629215915,10605.323560654351
Prairie View,2016,21.288103771908048,4401.284922731966,0.033368143743608324,627.5569035661014,1709.01508408445,1387.7846897368963,302.3583396512931,875.9350301968725,1178.2933698481654,10923.616316124924
Prairie View,2017,21.813001997786657,4604.898815780867,0.08170726993003942,566.8061999341281,1836.8974291262589,1342.4409659590813,530.5131912668955,521.1281145202283,1051.641305787124,10839.10179368115
Prairie View,2018,20.677822432448483,4246.488335335206,0.08444148232809535,902.8848792800503,1758.6355671237536,1425.532216937403,594.7500588163869,423.34555809742164,1018.0956169138086,9507.4319099214
Prairie View,2019,20.79022288001832,4240.973287380471,0.07097915694497949,870.6317473673198,1767.4085985740073,1123.0713957768498,329.8406479545426,567.4635293401986,897.3041772947412,10107.71819764526
Morris,2011,6.683135870620062,1586.5944656051652,0.0,4646.231153803116,393.9212465794432,674.461807071295,106.97680144613085,489.9503795662185,596.9271810123494,8978.861951882394
Morris,2012,8.857912821987203,1754.271082280212,0.0,3932.6333019351064,464.6415947824266,713.2222657249803,99.99213621851572,522.3621843458188,622.3543205643347,9106.248499010382
Morris,2013,5.141859087937899,1547.7014668798627,0.0,5184.732682282991,369.8567493803295,786.9929576122902,258.4133748752505,426.76596718371536,685.1793420589659,8284.81170080347
Morris,2014,5.1275042294361,1398.4136381666215,0.0,5070.969209700632,250.8537534448136,725.40960169678,184.08923145759357,475.5416082870366,659.6308397446303,10550.434094279684
Morris,2015,8.370041036875284,1674.7356183209765,0.0,4016.4775799971253,379.8880584566095,723.1371463241162,266.87528316159495,392.3105509379288,659.1858340995236,11309.988802784883
Morris,2016,8.536642403247548,1699.003238838959,0.0,3956.723211179737,371.1465307683426,872.1745317746578,352.0373164623673,445.27746159705305,797.3147780594203,12423.418446791648
Morris,2017,7.564172439686568,1498.8718820228546,0.0,4214.0976312113535,283.36607169695185,817.6198208516753,380.25399105758765,383.1914891901873,763.4454802477749,11755.092277831975
Morris,2018,6.413083198756373,1633.7582307151695,0.0,4776.554707567636,425.6755751137104,785.2052249825792,282.70043623598184,416.72318037632516,699.4236166123071,10875.966532344484
Morris,2019,5.1254226005897054,1398.769381159642,0.0,5100.330626482692,279.45537569793845,967.6241617271696,365.53021443322854,485.09377032733823,850.6239847605667,10890.974860569042
Williams,2011,9.272795186488434,1776.0977898519318,0.0035308961879262093,3819.045890132274,511.9616332005505,864.7563249040667,150.58134402433944,585.1641894395193,735.7455334638588,8574.710473468038
Williams,2012,11.282837522100891,2100.2767395465544,0.004072867530147745,3207.2040867782616,626.7348198671922,702.0367278232816,235.64883476765127,358.89021402284413,594.5390487904955,7390.7618528214625
Williams,2013,7.952763689670677,1751.429977955971,0.0,4264.210636983458,475.3148837132611,997.8617080350349,182.1806993317267,725.3930440665507,907.5737433982775,8627.586458600548
Williams,2014,7.303166742540102,1571.3346007416778,0.0,4338.188370967258,312.189731994397,1036.441041156498,309.6822502127584,620.9873868656548,930.669637078413,10898.232717615654
Williams,2015,9.857982935953043,1843.0829420179427,0.0,3527.190119115746,433.69939073860945,1071.625242204478,401.02029142902387,479.00709716965537,880.0273885986792,12641.967786653853
Williams,2016,10.392853459933097,1980.4633647744765,0.0,3417.865426628645,511.6619929641596,1113.5685312611422,505.31042951864316,497.83614031041617,1003.1465698290593,12554.314740013611
Williams,2017,10.276540797955919,1858.4069539348002,0.0,3415.3081319480016,474.5910232019165,880.7123521162395,290.98440573733717,460.9942269040203,751.9786326413575,11859.55195092163
Williams,2018,8.555439341497149,1829.8475441193154,0.0,4114.570833680926,545.6516933273903,1392.9347722419054,574.9288929166473,662.510937008146,1237.4398299247935,11713.182942145935
Williams,2019,8.419985319605969,1782.7058146639304,4.764158889784458e-05,4095.104880218565,476.74502187474747,1229.7211229709449,501.3514476891598,578.6323047503607,1079.9837524395207,12154.898381801167
